ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13208530,JG421738,7/16/23 2:00,014XX W LAKE ST,810,THEFT,OVER $500,BAR OR TAVERN,False,False,1224,12,27.0,28.0,6,1166633.0,1901539.0,2023,9/14/23 15:41,41.88539325,-87.66354785,"(41.885393253, -87.663547848)"
13201513,JG413337,9/6/23 10:10,035XX N CICERO AVE,460,BATTERY,SIMPLE,ALLEY,False,False,1731,17,30.0,15.0,08B,1143746.0,1923309.0,2023,9/14/23 15:43,41.94559185,-87.74704729,"(41.945591853, -87.747047289)"
13273619,JG500000,11/10/23 18:00,0000X W RANDOLPH ST,820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,111,1,34.0,32.0,6,1176102.0,1901284.0,2023,11/18/23 15:40,41.88448545,-87.62878394,"(41.884485451, -87.628783943)"
13203345,JG414934,9/7/23 11:10,012XX S Ashland ave,890,THEFT,FROM BUILDING,PARK PROPERTY,False,False,1233,12,28.0,28.0,6,1165915.0,1894632.0,2023,11/4/23 15:40,41.86645523,-87.66638156,"(41.86645523, -87.666381559)"
11630496,JC193727,3/16/19 11:35,045XX N LINCOLN AVE,890,THEFT,FROM BUILDING,BAR OR TAVERN,False,False,1911,19,47.0,4.0,6,1186953.0,1850974.0,2019,3/23/19 16:03,41.74590509,-87.58983438,"(41.745905086, -87.549141439)"
11632505,JC196841,3/20/19 1:00,013XX W HOOD AVE,810,THEFT,OVER $500,OTHER,False,False,2433,24,48.0,77.0,6,1186953.0,1850974.0,2019,3/27/19 16:10,41.74590509,-87.58983438,"(41.745905086, -87.549141439)"
11765926,JC358692,7/21/19 14:00,002XX W 87TH ST,810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,622,6,21.0,44.0,6,1176436.0,1847222.0,2019,9/15/23 15:41,41.73612686,-87.62918406,"(41.736126864, -87.629184056)"
11885224,JC502442,11/5/19 20:00,075XX S RHODES AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,False,True,624,6,6.0,69.0,3,1181207.0,1855239.0,2019,9/15/23 15:41,41.75801796,-87.61145853,"(41.75801796, -87.611458525)"
12491515,JE384510,9/15/18 8:00,002XX W RANDOLPH ST,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,COMMERCIAL / BUSINESS OFFICE,True,False,122,1,42.0,32.0,12,1186953.0,1850974.0,2018,9/15/23 15:41,41.74590509,-87.58983438,"(41.745905086, -87.549141439)"
12622465,JF149923,2/19/22 10:36,010XX N FRANCISCO AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,HOSPITAL BUILDING / GROUNDS,True,True,1211,12,26.0,24.0,08B,1156861.0,1906972.0,2022,9/15/23 15:41,41.90050559,-87.69928504,"(41.900505589, -87.699285044)"
12640859,JF172230,3/13/22 5:15,012XX W PRATT BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,2431,24,49.0,1.0,08B,1166646.0,1945317.0,2022,9/15/23 15:41,42.00552183,-87.66224145,"(42.00552183, -87.662241448)"
12667337,JF203985,4/10/22 21:38,011XX N CHERRY AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,WAREHOUSE,True,True,1822,18,27.0,8.0,26,1169620.0,1907431.0,2022,9/15/23 15:41,41.90149679,-87.65240739,"(41.901496787, -87.652407386)"
12671049,JF208259,4/14/22 22:10,003XX E OHIO ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE - COMMERCIAL,True,True,1834,18,2.0,8.0,08B,1178915.0,1904276.0,2022,9/15/23 15:41,41.8926318,-87.61836282,"(41.892631803, -87.618362824)"
12610088,JF134608,9/1/21 0:01,066XX S GREEN ST,266,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,False,723,7,16.0,68.0,2,1186953.0,1850974.0,2021,5/31/24 15:40,41.74590509,-87.58983438,"(41.745905086, -87.549141439)"
12678035,JF216671,4/22/22 23:30,044XX N BROADWAY,810,THEFT,OVER $500,APARTMENT,True,True,1914,19,46.0,3.0,6,1168614.0,1929562.0,2022,9/15/23 15:41,41.96224718,-87.6554598,"(41.962247182, -87.6554598)"
12735680,JF286563,6/20/22 0:50,085XX S PEORIA ST,041A,BATTERY,AGGRAVATED - HANDGUN,SCHOOL - PUBLIC GROUNDS,False,False,613,6,17.0,71.0,04B,1171804.0,1848175.0,2022,9/15/23 15:41,41.73884477,-87.64612615,"(41.738844769, -87.646126146)"
12792322,JF354686,8/12/22 1:00,062XX S KILDARE AVE,263,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,True,True,813,8,13.0,65.0,2,1148777.0,1862896.0,2022,9/15/23 15:41,41.77971533,-87.7301152,"(41.779715327, -87.730115202)"
12829768,JF398130,9/16/22 7:00,030XX N WHIPPLE ST,320,ROBBERY,STRONG ARM - NO WEAPON,APARTMENT,False,False,1411,14,35.0,21.0,3,1155521.0,1919887.0,2022,9/15/23 15:41,41.93597248,-87.70385876,"(41.935972475, -87.703858758)"
12876410,JF454959,10/30/22 5:30,0000X E JACKSON BLVD,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,113,1,34.0,32.0,3,1176571.0,1899006.0,2022,9/15/23 15:41,41.87822391,-87.62713057,"(41.878223912, -87.627130568)"
12885646,JF465749,11/5/22 12:49,044XX W RICE ST,620,BURGLARY,UNLAWFUL ENTRY,WAREHOUSE,True,False,1111,11,37.0,23.0,5,1146532.0,1905297.0,2022,9/15/23 15:41,41.89611242,-87.73726704,"(41.896112422, -87.737267038)"
12893219,JF474959,11/14/22 17:00,012XX S INDEPENDENCE BLVD,325,ROBBERY,VEHICULAR HIJACKING,STREET,True,False,1011,10,24.0,29.0,3,1151289.0,1894080.0,2022,9/15/23 15:41,41.86523975,-87.72008978,"(41.865239745, -87.720089778)"
12983316,JG153083,7/22/22 18:30,065XX S FRANCISCO AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,APARTMENT,True,False,831,8,15.0,66.0,17,1186953.0,1850974.0,2022,9/15/23 15:41,41.74590509,-87.58983438,"(41.745905086, -87.549141439)"
13039389,JG220013,4/12/23 8:15,011XX S PULASKI RD,486,BATTERY,DOMESTIC BATTERY SIMPLE,GAS STATION,False,True,1132,11,24.0,29.0,08B,1149894.0,1894597.0,2023,9/15/23 15:41,41.86668568,-87.72519746,"(41.866685684, -87.725197461)"
13080472,JG269806,5/22/23 1:20,070XX S CORNELL AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,False,False,332,3,5.0,43.0,26,1188569.0,1858598.0,2023,9/15/23 15:41,41.76706266,-87.58437077,"(41.76706266, -87.584370768)"
13122119,JG319090,6/28/23 4:00,059XX W OHIO ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,True,False,1512,15,29.0,25.0,5,1136779.0,1903375.0,2023,9/15/23 15:41,41.89101856,-87.77313446,"(41.891018558, -87.773134462)"
13125134,JG322470,4/1/23 0:00,046XX N LAWNDALE AVE,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,1723,17,33.0,14.0,17,1150886.0,1930603.0,2023,9/15/23 15:41,41.9654701,-87.72061133,"(41.965470104, -87.720611331)"
13145506,JG346798,7/18/23 21:50,006XX W ROOSEVELT RD,479,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY",STREET,True,False,124,1,28.0,28.0,04B,1172202.0,1894955.0,2023,9/15/23 15:41,41.86720521,-87.64329198,"(41.867205212, -87.643291977)"
13160019,JG364057,7/31/23 20:40,028XX S NORMAL AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,True,False,914,9,11.0,60.0,5,1173198.0,1886224.0,2023,9/15/23 15:41,41.84322465,-87.63989441,"(41.843224654, -87.639894406)"
13160405,JG364451,7/8/23 12:13,005XX W MADISON ST,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,APARTMENT,True,False,121,1,34.0,28.0,17,1172508.0,1900293.0,2023,9/15/23 15:41,41.88184629,-87.64201078,"(41.881846294, -87.64201078)"
13169670,JG375651,8/9/23 0:10,011XX N AUSTIN BLVD,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,True,False,1511,15,29.0,25.0,5,1136159.0,1906981.0,2023,9/15/23 15:41,41.90092497,-87.77532532,"(41.900924968, -87.775325323)"
13170933,JG376933,8/10/23 1:30,059XX W SUPERIOR ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,True,False,1511,15,29.0,25.0,5,1136723.0,1904396.0,2023,9/15/23 15:41,41.89382132,-87.77331565,"(41.893821316, -87.773315653)"
13174502,JG381117,8/13/23 13:20,045XX S PAULINA ST,498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,True,True,924,9,15.0,61.0,04B,1165768.0,1874599.0,2023,9/15/23 15:41,41.81148581,-87.66749132,"(41.811485813, -87.667491321)"
13182682,JG390724,8/19/23 19:00,044XX S HONORE ST,560,ASSAULT,SIMPLE,APARTMENT,False,False,924,9,15.0,61.0,08A,1164761.0,1875235.0,2023,9/15/23 15:41,41.81325242,-87.67116697,"(41.813252421, -87.671166972)"
13188484,JG397834,8/25/23 21:45,006XX E GRAND AVE,460,BATTERY,SIMPLE,CTA BUS,False,False,1834,18,42.0,8.0,08B,1180796.0,1904058.0,2023,9/15/23 15:41,41.89199038,-87.6114615,"(41.891990384, -87.611461502)"
13193026,JG403252,8/30/23 0:00,011XX S TROY ST,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,True,True,1134,11,24.0,29.0,04A,1155533.0,1894984.0,2023,9/15/23 15:41,41.86763617,-87.70448554,"(41.867636169, -87.704485536)"
13194150,JG404621,8/30/23 22:50,063XX S CALIFORNIA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,825,8,16.0,66.0,14,1158801.0,1862516.0,2023,9/15/23 15:41,41.77847372,-87.69337595,"(41.778473715, -87.693375946)"
13194233,JG404487,8/30/23 19:17,001XX N STATE ST,850,THEFT,ATTEMPT THEFT,SMALL RETAIL STORE,True,False,111,1,42.0,32.0,6,1176338.0,1901346.0,2023,9/15/23 15:41,41.88465026,-87.62791546,"(41.884650262, -87.627915459)"
13172762,JG379046,8/11/23 19:55,007XX W 76TH ST,1200,DECEPTIVE PRACTICE,STOLEN PROPERTY BUY / RECEIVE / POSSESS,STREET,False,False,621,6,17.0,68.0,13,1172478.0,1854464.0,2023,9/24/23 15:41,41.75608781,-87.64347201,"(41.756087808, -87.643472014)"
13195178,JG405402,8/29/23 14:50,037XX W SUNNYSIDE AVE,810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,False,False,1723,17,33.0,14.0,6,1150576.0,1929643.0,2023,9/15/23 15:41,41.96284188,-87.72177633,"(41.962841876, -87.721776334)"
13200649,JG412350,9/5/23 9:32,004XX W 27TH ST,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,True,False,914,9,11.0,60.0,5,1173491.0,1886697.0,2023,9/15/23 15:41,41.84451611,-87.63880514,"(41.844516108, -87.638805135)"
13200892,JG412264,9/5/23 14:55,074XX S BLACKSTONE AVE,320,ROBBERY,STRONG ARM - NO WEAPON,ALLEY,True,False,324,3,8.0,43.0,3,1187489.0,1856139.0,2023,9/15/23 15:41,41.76034068,-87.58840741,"(41.760340683, -87.588407406)"
13201081,JG412890,9/5/23 21:00,026XX W CRYSTAL ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1423,14,26.0,24.0,08B,1158619.0,1908224.0,2023,9/15/23 15:41,41.90390535,-87.69279347,"(41.903905346, -87.692793471)"
13203230,JG414128,7/29/23 22:24,001XX N WESTERN AVE,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,CURRENCY EXCHANGE,False,False,1223,12,27.0,28.0,10,1160382.0,1901043.0,2023,9/15/23 15:41,41.88416377,-87.68651639,"(41.884163773, -87.686516386)"
13203456,JG415309,9/6/23 3:00,007XX E 105TH PL,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,True,True,512,5,9.0,50.0,26,1183083.0,1835159.0,2023,9/15/23 15:41,41.70287272,-87.60520579,"(41.70287272, -87.605205786)"
13204006,JG412016,9/5/23 11:46,026XX W ADAMS ST,820,THEFT,$500 AND UNDER,APARTMENT,True,True,1125,11,27.0,27.0,6,1158810.0,1898926.0,2023,9/15/23 15:41,41.8783869,-87.69234702,"(41.878386896, -87.692347019)"
13207678,JG420016,8/21/23 11:27,001XX N WABASH AVE,810,THEFT,OVER $500,SMALL RETAIL STORE,False,False,111,1,34.0,32.0,6,1176799.0,1900994.0,2023,9/15/23 15:41,41.88367394,-87.62623327,"(41.883673944, -87.626233272)"
13209448,JG422916,9/6/23 1:30,063XX S MINERVA AVE,810,THEFT,OVER $500,STREET,False,False,314,3,20.0,42.0,6,1185274.0,1862873.0,2023,9/15/23 15:41,41.77887174,-87.59631384,"(41.778871742, -87.59631384)"
13209461,JG422960,4/13/23 14:15,050XX S ARCHER AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,815,8,14.0,57.0,7,1149737.0,1870745.0,2023,9/15/23 15:41,41.80123566,-87.72639252,"(41.801235662, -87.726392523)"
13209514,JG423016,8/18/23 22:10,042XX W 21ST PL,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENCE,False,False,1012,10,24.0,29.0,15,1148374.0,1889417.0,2023,9/15/23 15:41,41.85250054,-87.73091103,"(41.852500536, -87.730911032)"
13209667,JG422080,1/12/23 8:30,013XX E 59TH ST,810,THEFT,OVER $500,SCHOOL - PRIVATE GROUNDS,False,False,235,2,5.0,41.0,6,1186172.0,1866149.0,2023,9/15/23 15:41,41.78784019,-87.59291833,"(41.787840189, -87.592918325)"
13209482,JG422815,8/22/23 22:30,011XX W LOYOLA AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,COLLEGE / UNIVERSITY - RESIDENCE HALL,False,False,2432,24,49.0,1.0,17,1167433.0,1943876.0,2023,9/15/23 15:41,42.00155074,-87.65938775,"(42.001550738, -87.659387754)"
13209655,JG422078,5/30/23 9:30,003XX W WASHINGTON ST,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,STREET,False,False,122,1,42.0,32.0,11,1174189.0,1900801.0,2023,9/16/23 15:41,41.88320295,-87.63582308,"(41.883202953, -87.635823077)"
13273289,JG499433,11/10/23 19:20,078XX S RIDGELAND AVE,1020,ARSON,BY FIRE,APARTMENT,False,False,414,4,8.0,43.0,9,1189228.0,1853420.0,2023,11/18/23 15:40,41.75283801,-87.58212104,"(41.752838005, -87.582121042)"
13273367,JG499630,11/10/23 23:00,042XX W GLADYS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1132,11,28.0,26.0,08B,1148274.0,1898019.0,2023,11/18/23 15:40,41.87610739,-87.73105657,"(41.876107394, -87.731056572)"
13272848,JG499075,11/10/23 13:00,014XX W EDGEWATER AVE,820,THEFT,$500 AND UNDER,STREET,False,False,2013,20,48.0,77.0,6,1165637.0,1938316.0,2023,11/18/23 15:40,41.98633256,-87.66615432,"(41.986332562, -87.666154315)"
13273875,JG500326,11/10/23 21:00,081XX S EVANS AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,631,6,6.0,44.0,7,1182639.0,1851291.0,2023,11/18/23 15:40,41.74715114,-87.60633271,"(41.747151137, -87.606332713)"
13275243,JG501831,11/10/23 18:00,030XX S POPLAR AVE,810,THEFT,OVER $500,RESIDENCE - GARAGE,False,False,913,9,11.0,60.0,6,1171023.0,1884780.0,2023,11/18/23 15:40,41.8393101,-87.64791839,"(41.839310104, -87.647918388)"
